player_name_ja,team,name_kana,player_name_en,is_foreign,source,備考
石塚裕惺,読売ジャイアンツ,いしづか・ゆうせい,Ishizuka Yuusei,No,DRAFT_2024,
浦田俊輔,読売ジャイアンツ,うらた・しゅんすけ,Urata Shunsuke,No,DRAFT_2024,
荒巻悠,読売ジャイアンツ,あらまき・ゆう,Aramaki Yuu,No,DRAFT_2024,
石田充冴,読売ジャイアンツ,いしだ・じゅうざ,Ishida Juuza,No,DRAFT_2024,
宮原駿介,読売ジャイアンツ,みやはら・しゅんすけ,Miyahara Shunsuke,No,DRAFT_2024,
中村優斗,東京ヤクルトスワローズ,なかむら・ゆうと,Nakamura Yuuto,No,DRAFT_2024,
モイセエフ・ニキータ,東京ヤクルトスワローズ,,Nikita Moiseev,Yes,DRAFT_2024,
荘司宏太,東京ヤクルトスワローズ,しょうじ・こうた,Shouji Kouta,No,DRAFT_2024,
田中陽翔,東京ヤクルトスワローズ,たなか・はると,Tanaka Haruto,No,DRAFT_2024,
矢野泰二郎,東京ヤクルトスワローズ,やの・たいじろう,Yano Taijirou,No,DRAFT_2024,
竹田祐,横浜DeNAベイスターズ,たけだ・ゆう,Takeda Yuu,No,DRAFT_2024,
篠木健太郎,横浜DeNAベイスターズ,しのぎ・けんたろう,Shinogi Kentarou,No,DRAFT_2024,
加藤響,横浜DeNAベイスターズ,かとう・ひびき,Katou Hibiki,No,DRAFT_2024,
若松尚輝,横浜DeNAベイスターズ,わかまつ・なおき,Wakamatsu Naoki,No,DRAFT_2024,
田内真翔,横浜DeNAベイスターズ,たない・まなと,Tanai Manato,No,DRAFT_2024,
坂口翔颯,横浜DeNAベイスターズ,さかぐち・かすが,Sakaguchi Kasuga,No,DRAFT_2024,
佐々木泰,広島東洋カープ,ささき・たい,Sasaki Tai,No,DRAFT_2024,
佐藤柳之介,広島東洋カープ,さとう・りゅうのすけ,Satou Ryuunosuke,No,DRAFT_2024,
岡本駿,広島東洋カープ,おかもと・しゅん,Okamoto Shun,No,DRAFT_2024,
渡辺悠斗,広島東洋カープ,わたなべ・ゆうと,Watanabe Yuuto,No,DRAFT_2024,
菊地ハルン,広島東洋カープ,きくち・はるん,Kikuchi Harun,No,DRAFT_2024,
金丸夢斗,中日ドラゴンズ,かねまる・ゆめと,Kanemaru Yumeto,No,DRAFT_2024,
吉田聖弥,中日ドラゴンズ,よしだ・せいや,Yoshida Seiya,No,DRAFT_2024,
森駿太,中日ドラゴンズ,もり・しゅんた,Mori Shunta,No,DRAFT_2024,
石伊雄太,中日ドラゴンズ,いしい・ゆうた,Ishii Yuuta,No,DRAFT_2024,
高橋幸佑,中日ドラゴンズ,たかはし・こうすけ,Takahashi Kousuke,No,DRAFT_2024,
有馬恵叶,中日ドラゴンズ,ありま・けいと,Arima Keito,No,DRAFT_2024,
伊原陵人,阪神タイガース,いはら・たかと,Ihara Takato,No,DRAFT_2024,
今朝丸裕喜,阪神タイガース,けさまる・ゆうき,Kesamaru Yuuki,No,DRAFT_2024,
木下里都,阪神タイガース,きのした・りと,Kinoshita Rito,No,DRAFT_2024,
町田隼乙,阪神タイガース,まちだ・はやと,Machida Hayato,No,DRAFT_2024,
佐野大陽,阪神タイガース,さの・たいよう,Sano Taiyou,No,DRAFT_2024,
村上泰斗,福岡ソフトバンクホークス,むらかみ・たいと,Murakami Taito,No,DRAFT_2024,
庄子雄大,福岡ソフトバンクホークス,しょうじ・ゆうだい,Shouji Yuudai,No,DRAFT_2024,
安徳駿,福岡ソフトバンクホークス,あんとく・しゅん,Antoku Shun,No,DRAFT_2024,
宇野真仁朗,福岡ソフトバンクホークス,うの・しんじろう,Uno Shinjirou,No,DRAFT_2024,
石見颯真,福岡ソフトバンクホークス,いしみ・そうま,Ishimi Souma,No,DRAFT_2024,
岩崎峻典,福岡ソフトバンクホークス,いわさき・しゅんすけ,Iwasaki Shunsuke,No,DRAFT_2024,
柴田獅子,北海道日本ハムファイターズ,しばた・れお,Shibata Reo,No,DRAFT_2024,
藤田琉生,北海道日本ハムファイターズ,ふじた・りゅうせい,Fujita Ryuusei,No,DRAFT_2024,
浅利太門,北海道日本ハムファイターズ,あさり・たもん,Asari Tamon,No,DRAFT_2024,
清水大暉,北海道日本ハムファイターズ,しみず・だいき,Shimizu Daiki,No,DRAFT_2024,
山県秀,北海道日本ハムファイターズ,やまがた・しゅう,Yamagata Shuu,No,DRAFT_2024,
山城航太郎,北海道日本ハムファイターズ,やましろ・こうたろう,Yamashiro Koutarou,No,DRAFT_2024,
西川史礁,千葉ロッテマリーンズ,にしかわ・みしょう,Nishikawa Mishou,No,DRAFT_2024,
宮崎竜成,千葉ロッテマリーンズ,みやざき・りゅうせい,Miyazaki Ryuusei,No,DRAFT_2024,
一條力真,千葉ロッテマリーンズ,いちじょう・りきま,Ichijou Rikima,No,DRAFT_2024,
坂井遼,千葉ロッテマリーンズ,さかい・はる,Sakai Haru,No,DRAFT_2024,
広池康志郎,千葉ロッテマリーンズ,ひろいけ・こうしろう,Hiroike Koushirou,No,DRAFT_2024,
立松由宇,千葉ロッテマリーンズ,たてまつ・ゆう,Tatematsu Yuu,No,DRAFT_2024,
宗山塁,東北楽天ゴールデンイーグルス,むねやま・るい,Muneyama Rui,No,DRAFT_2024,
徳山一翔,東北楽天ゴールデンイーグルス,とくやま・かずと,Tokuyama Kazuto,No,DRAFT_2024,
中込陽翔,東北楽天ゴールデンイーグルス,なかごみ・はると,Nakagomi Haruto,No,DRAFT_2024,
江原雅裕,東北楽天ゴールデンイーグルス,えはら・まさひろ,Ehara Masahiro,No,DRAFT_2024,
吉納翼,東北楽天ゴールデンイーグルス,よしのう・つばさ,Yoshinou Tsubasa,No,DRAFT_2024,
陽柏翔,東北楽天ゴールデンイーグルス,よう・ぼうしゃん,You Boushan,No,DRAFT_2024,
斎藤大翔,埼玉西武ライオンズ,さいとう・ひろと,Saitou Hiroto,No,DRAFT_2024,
渡部聖弥,埼玉西武ライオンズ,わたなべ・せいや,Watanabe Seiya,No,DRAFT_2024,
狩生聖真,埼玉西武ライオンズ,かりう・しょうま,Kariu Shouma,No,DRAFT_2024,
林冠臣,埼玉西武ライオンズ,りん・くぁんちぇん,Rin Kunchin,No,DRAFT_2024,
篠原響,埼玉西武ライオンズ,しのはら・ひびき,Shinohara Hibiki,No,DRAFT_2024,
龍山暖,埼玉西武ライオンズ,たつやま・はるき,Tatsuyama Haruki,No,DRAFT_2024,
古賀輝希,埼玉西武ライオンズ,こが・てるき,Koga Teruki,No,DRAFT_2024,
麦谷祐介,オリックス・バファローズ,むぎたに・ゆうすけ,Mugitani Yuusuke,No,DRAFT_2024,
寺西成騎,オリックス・バファローズ,てらにし・なるき,Teranishi Naruki,No,DRAFT_2024,
山口廉王,オリックス・バファローズ,やまぐち・れお,Yamaguchi Reo,No,DRAFT_2024,
山中稜真,オリックス・バファローズ,やまなか・りょうま,Yamanaka Ryouma,No,DRAFT_2024,
東山玲士,オリックス・バファローズ,ひがしやま・れいじ,Higashiyama Reiji,No,DRAFT_2024,
片山楽生,オリックス・バファローズ,かたやま・らいく,Katayama Raiku,No,DRAFT_2024,
キャベッジ,読売ジャイアンツ,,Tyler Cabbage,Yes,FOREIGN_PLAYER,
ファビアン,広島東洋カープ,,Sandro Fabian,Yes,FOREIGN_PLAYER,
ドミンゲス,広島東洋カープ,,Dominguez,Yes,FOREIGN_PLAYER,
モンテロ,広島東洋カープ,,Montero,Yes,FOREIGN_PLAYER,
ネルソン,阪神タイガース,,Nick Nelson,Yes,FOREIGN_PLAYER,
デュプランティエ,阪神タイガース,,John Duplantier,Yes,FOREIGN_PLAYER,
ランバート,阪神タイガース,,Peter Lambert,Yes,FOREIGN_PLAYER,
ウィンゲンター,阪神タイガース,,Trey Wingenter,Yes,FOREIGN_PLAYER,
ハワード,阪神タイガース,,Spencer Howard,Yes,FOREIGN_PLAYER,
ヘルナンデス,阪神タイガース,,Hernandez,Yes,FOREIGN_PLAYER,
ボーマン,東京ヤクルトスワローズ,,Bowman,Yes,FOREIGN_PLAYER,
アビラ,東京ヤクルトスワローズ,,Avila,Yes,FOREIGN_PLAYER,
ボスラー,中日ドラゴンズ,,Bosler,Yes,FOREIGN_PLAYER,
マラー,中日ドラゴンズ,,Malla,Yes,FOREIGN_PLAYER,
ウォルターズ,中日ドラゴンズ,,Walters,Yes,FOREIGN_PLAYER,
マルテ,中日ドラゴンズ,,Marte,Yes,FOREIGN_PLAYER,
サモンズ,千葉ロッテマリーンズ,,Summons,Yes,FOREIGN_PLAYER,
ゲレーロ,千葉ロッテマリーンズ,,Guerrero,Yes,FOREIGN_PLAYER,
ヤフーレ,東北楽天ゴールデンイーグルス,,Yahoore,Yes,FOREIGN_PLAYER,
ディアス,オリックス・バファローズ,,Diaz,Yes,FOREIGN_PLAYER,
オリバレス,オリックス・バファローズ,,Olivares,Yes,FOREIGN_PLAYER,
ラミレス,埼玉西武ライオンズ,,Ramirez,Yes,FOREIGN_PLAYER,
セデーニョ,埼玉西武ライオンズ,,Cedeno,Yes,FOREIGN_PLAYER,
ネビン,埼玉西武ライオンズ,,Tyler Nevin,Yes,FOREIGN_PLAYER,
